policy_id,policy_hash,stage,builder,was_evaluated,duplicate_of_policy_hash,path_index,endpoint_kind,num_eval_examples,score,accuracy,correct,total,proxy_score,twobit_param_count,twobit_mass_fraction,num_2bit,num_4bit,num_8bit,raw_weight_bits,target_int4_bits,budget_slack_bits,budget_slack_fraction,promotion_mass_fraction,realized_8bit_param_mass_fraction,realized_2bit_param_mass_fraction,realized_4bit_param_mass_fraction,policy_path,eval_artifact_path,failure_reason
gpf_coarse_00_i0009,6bcc3e2ab712b7a27c8710935a0e87dbc5ac491f78c6608285f18b292b13a62d,coarse,coarse_path,True,,9,,25,0.76,0.76,19,25,18.611410741134023,301989888,0.03805496828752643,9,231,9,31742492672,31742492672,0,0.0,0.019027484143763214,0.019027484143763214,0.03805496828752643,0.9429175475687104,artifacts/policies/task_sensitivity_exact_budget_q301_400_first64/gpf_coarse_00_i0009.json,/Users/zhangletian/Projects/15642/TA-MPQ/artifacts/results/task_sensitivity_exact_budget/evaluations_by_hash/first300/6bcc3e2ab712b7a27c8710935a0e87dbc5ac491f78c6608285f18b292b13a62d-c589d8ab532c-simple-evals-nonthinking-simple-evals-nonthinking-0df781f425e1.json,
gpf_coarse_01_i0030,21d4ac1b40afb8999e5eed7d30b3990a0fc181f34b671053aa5812937306e6b0,coarse,coarse_path,True,,30,,25,0.8,0.8,20,25,24.182689873865456,855638016,0.10782241014799154,26,193,30,31742492672,31742492672,0,0.0,0.05391120507399577,0.05391120507399577,0.10782241014799154,0.8382663847780126,artifacts/policies/task_sensitivity_exact_budget_q301_400_first64/gpf_coarse_01_i0030.json,/Users/zhangletian/Projects/15642/TA-MPQ/artifacts/results/task_sensitivity_exact_budget/evaluations_by_hash/first300/21d4ac1b40afb8999e5eed7d30b3990a0fc181f34b671053aa5812937306e6b0-c589d8ab532c-simple-evals-nonthinking-simple-evals-nonthinking-0df781f425e1.json,
gpf_coarse_02_i0063,8f08779cc8ce9d1d689df7fcb8ccfedfb962ea64533c4b83f74cce6cecd52e13,coarse,coarse_path,True,,63,,25,0.76,0.76,19,25,22.8931293678188,1443889152,0.18195031712473572,49,137,63,31729385472,31742492672,13107200,0.00041292283298097253,0.09056223572938689,0.09056223572938689,0.18195031712473572,0.7274874471458774,artifacts/policies/task_sensitivity_exact_budget_q301_400_first64/gpf_coarse_02_i0063.json,/Users/zhangletian/Projects/15642/TA-MPQ/artifacts/results/task_sensitivity_exact_budget/evaluations_by_hash/first300/8f08779cc8ce9d1d689df7fcb8ccfedfb962ea64533c4b83f74cce6cecd52e13-c589d8ab532c-simple-evals-nonthinking-simple-evals-nonthinking-0df781f425e1.json,
gpf_coarse_03_i0104,0b5fd3efa904113efc57bf27194fe70cfc2aa958ed7a43a2c08604a161a20979,coarse,coarse_path,True,,104,,25,0.84,0.84,21,25,30.9390796370908,1963982848,0.2474894291754757,63,82,104,31727812608,31742492672,14680064,0.0004624735729386892,0.12328224101479915,0.12328224101479915,0.2474894291754757,0.6292283298097252,artifacts/policies/task_sensitivity_exact_budget_q301_400_first64/gpf_coarse_03_i0104.json,/Users/zhangletian/Projects/15642/TA-MPQ/artifacts/results/task_sensitivity_exact_budget/evaluations_by_hash/first300/0b5fd3efa904113efc57bf27194fe70cfc2aa958ed7a43a2c08604a161a20979-c589d8ab532c-simple-evals-nonthinking-simple-evals-nonthinking-0df781f425e1.json,
gpf_coarse_04_i0110,9bbaf3a7d0e0273028f1e1c0a64d4e1c485d8c3e440b0a9d532a45e0b259b9e9,coarse,coarse_path,True,,110,,25,0.8,0.8,20,25,39.28671826585651,2534408192,0.3193710359408034,75,64,110,31727812608,31742492672,14680064,0.0004624735729386892,0.15922304439746301,0.15922304439746301,0.3193710359408034,0.5214059196617337,artifacts/policies/task_sensitivity_exact_budget_q301_400_first64/gpf_coarse_04_i0110.json,/Users/zhangletian/Projects/15642/TA-MPQ/artifacts/results/task_sensitivity_exact_budget/evaluations_by_hash/first300/9bbaf3a7d0e0273028f1e1c0a64d4e1c485d8c3e440b0a9d532a45e0b259b9e9-c589d8ab532c-simple-evals-nonthinking-simple-evals-nonthinking-0df781f425e1.json,
gpf_coarse_05_i0116,04c4040609ac1e81e88582f2ff332243b2c08318438147c1d6bf7619d4894743,coarse,coarse_path,True,,116,,25,0.76,0.76,19,25,37.0284485364873,3138387968,0.39548097251585623,87,46,116,31727812608,31742492672,14680064,0.0004624735729386892,0.19727801268498943,0.19727801268498943,0.39548097251585623,0.4072410147991543,artifacts/policies/task_sensitivity_exact_budget_q301_400_first64/gpf_coarse_05_i0116.json,/Users/zhangletian/Projects/15642/TA-MPQ/artifacts/results/task_sensitivity_exact_budget/evaluations_by_hash/first300/04c4040609ac1e81e88582f2ff332243b2c08318438147c1d6bf7619d4894743-c589d8ab532c-simple-evals-nonthinking-simple-evals-nonthinking-0df781f425e1.json,
gpf_coarse_06_i0121,1e99094159e1e465529468b9a64004e5bcbf33040c43388d3f95deb268106318,coarse,coarse_path,True,,121,,25,0.8,0.8,20,25,28.212968346216257,3641704448,0.4589059196617336,97,31,121,31727812608,31742492672,14680064,0.0004624735729386892,0.22899048625792812,0.22899048625792812,0.4589059196617336,0.3121035940803383,artifacts/policies/task_sensitivity_exact_budget_q301_400_first64/gpf_coarse_06_i0121.json,/Users/zhangletian/Projects/15642/TA-MPQ/artifacts/results/task_sensitivity_exact_budget/evaluations_by_hash/first300/1e99094159e1e465529468b9a64004e5bcbf33040c43388d3f95deb268106318-c589d8ab532c-simple-evals-nonthinking-simple-evals-nonthinking-0df781f425e1.json,
gpf_coarse_07_i0127,5ed8394cca0cdb02d4f2efd0dc91d92c463a834a18c29b22bfae3df49f43ea6f,coarse,coarse_path,True,,127,,25,0.76,0.76,19,25,14.76870631894144,4212129792,0.5307875264270613,109,13,127,31727812608,31742492672,14680064,0.0004624735729386892,0.264931289640592,0.264931289640592,0.5307875264270613,0.20428118393234673,artifacts/policies/task_sensitivity_exact_budget_q301_400_first64/gpf_coarse_07_i0127.json,/Users/zhangletian/Projects/15642/TA-MPQ/artifacts/results/task_sensitivity_exact_budget/evaluations_by_hash/first300/5ed8394cca0cdb02d4f2efd0dc91d92c463a834a18c29b22bfae3df49f43ea6f-c589d8ab532c-simple-evals-nonthinking-simple-evals-nonthinking-0df781f425e1.json,
