policy_id,policy_hash,stage,builder,was_evaluated,duplicate_of_policy_hash,path_index,endpoint_kind,num_eval_examples,score,accuracy,correct,total,proxy_score,twobit_param_count,twobit_mass_fraction,num_2bit,num_4bit,num_8bit,raw_weight_bits,target_int4_bits,budget_slack_bits,budget_slack_fraction,promotion_mass_fraction,realized_8bit_param_mass_fraction,realized_2bit_param_mass_fraction,realized_4bit_param_mass_fraction,policy_path,eval_artifact_path,failure_reason
gpf_refine_00_i0104,0b5fd3efa904113efc57bf27194fe70cfc2aa958ed7a43a2c08604a161a20979,refine,refined_path,True,,104,,50,0.84,0.84,42,50,30.9390796370908,1963982848,0.2474894291754757,63,82,104,31727812608,31742492672,14680064,0.0004624735729386892,0.12328224101479915,0.12328224101479915,0.2474894291754757,0.6292283298097252,artifacts/policies/task_sensitivity_exact_budget_q301_400_first64/gpf_refine_00_i0104.json,/Users/zhangletian/Projects/15642/TA-MPQ/artifacts/results/task_sensitivity_exact_budget/evaluations_by_hash/first300/0b5fd3efa904113efc57bf27194fe70cfc2aa958ed7a43a2c08604a161a20979-c589d8ab532c-simple-evals-nonthinking-simple-evals-nonthinking-2fe28fca19b9.json,
gpf_refine_01_i0108,0408c76fa4872fca3d84c28bcc7f3e027525b67466d39371c9acedc2c0565746,refine,refined_path,True,,108,,50,0.84,0.84,42,50,38.08560395020049,2349858816,0.296115221987315,71,70,108,31694258176,31742492672,48234496,0.001519556025369979,0.14653805496828753,0.14653805496828753,0.296115221987315,0.5573467230443975,artifacts/policies/task_sensitivity_exact_budget_q301_400_first64/gpf_refine_01_i0108.json,/Users/zhangletian/Projects/15642/TA-MPQ/artifacts/results/task_sensitivity_exact_budget/evaluations_by_hash/first300/0408c76fa4872fca3d84c28bcc7f3e027525b67466d39371c9acedc2c0565746-c589d8ab532c-simple-evals-nonthinking-simple-evals-nonthinking-2fe28fca19b9.json,
gpf_refine_02_i0110,9bbaf3a7d0e0273028f1e1c0a64d4e1c485d8c3e440b0a9d532a45e0b259b9e9,refine,refined_path,True,,110,,50,0.88,0.88,44,50,39.28671826585651,2534408192,0.3193710359408034,75,64,110,31727812608,31742492672,14680064,0.0004624735729386892,0.15922304439746301,0.15922304439746301,0.3193710359408034,0.5214059196617337,artifacts/policies/task_sensitivity_exact_budget_q301_400_first64/gpf_refine_02_i0110.json,/Users/zhangletian/Projects/15642/TA-MPQ/artifacts/results/task_sensitivity_exact_budget/evaluations_by_hash/first300/9bbaf3a7d0e0273028f1e1c0a64d4e1c485d8c3e440b0a9d532a45e0b259b9e9-c589d8ab532c-simple-evals-nonthinking-simple-evals-nonthinking-2fe28fca19b9.json,
gpf_refine_03_i0112,5f468ccee3e4ca67866127f1048af631492c1c09913c28d154263b417082d038,refine,refined_path,True,,112,,50,0.82,0.82,41,50,39.423105993312674,2735734784,0.3447410147991543,79,58,112,31727812608,31742492672,14680064,0.0004624735729386892,0.17190803382663847,0.17190803382663847,0.3447410147991543,0.4833509513742072,artifacts/policies/task_sensitivity_exact_budget_q301_400_first64/gpf_refine_03_i0112.json,/Users/zhangletian/Projects/15642/TA-MPQ/artifacts/results/task_sensitivity_exact_budget/evaluations_by_hash/first300/5f468ccee3e4ca67866127f1048af631492c1c09913c28d154263b417082d038-c589d8ab532c-simple-evals-nonthinking-simple-evals-nonthinking-2fe28fca19b9.json,
