policy_id,stage,builder,num_eval_examples,score,correct,total,proxy_score,twobit_param_count,twobit_mass_fraction,num_2bit,num_4bit,num_8bit,raw_weight_bits,target_int4_bits,budget_slack_bits,budget_slack_fraction,promotion_mass_fraction,policy_path,eval_artifact_path
taqeb_m000_coarse_grid,coarse,coarse_grid,25,0.76,19,25,0.0,0,0.0,0,249,0,31742492672,31742492672,0,0.0,0.0,artifacts/policies/task_sensitivity_exact_budget/taqeb_m000_coarse_grid.json,artifacts/results/task_sensitivity_exact_budget/evaluations/coarse/taqeb_m000_coarse_grid.json
taqeb_m030_coarse_grid,coarse,coarse_grid,25,0.8,20,25,46.23646573880955,1017118720,0.12817124735729388,1,159,89,31679578112,31742492672,62914560,0.001982029598308668,0.06210359408033827,artifacts/policies/task_sensitivity_exact_budget/taqeb_m030_coarse_grid.json,artifacts/results/task_sensitivity_exact_budget/evaluations/coarse/taqeb_m030_coarse_grid.json
taqeb_m060_coarse_grid,coarse,coarse_grid,25,0.8,20,25,46.23646573880955,1017118720,0.12817124735729388,1,159,89,31679578112,31742492672,62914560,0.001982029598308668,0.06210359408033827,artifacts/policies/task_sensitivity_exact_budget/taqeb_m060_coarse_grid.json,artifacts/results/task_sensitivity_exact_budget/evaluations/coarse/taqeb_m060_coarse_grid.json
taqeb_m100_coarse_grid,coarse,coarse_grid,25,0.84,21,25,49.195872583788635,1621098496,0.20428118393234673,13,129,107,31679578112,31742492672,62914560,0.001982029598308668,0.10015856236786469,artifacts/policies/task_sensitivity_exact_budget/taqeb_m100_coarse_grid.json,artifacts/results/task_sensitivity_exact_budget/evaluations/coarse/taqeb_m100_coarse_grid.json
taqeb_m140_coarse_grid,coarse,coarse_grid,25,0.76,19,25,50.564090851676404,2275409920,0.2867336152219873,26,103,120,31713132544,31742492672,29360128,0.0009249471458773784,0.14244186046511628,artifacts/policies/task_sensitivity_exact_budget/taqeb_m140_coarse_grid.json,artifacts/results/task_sensitivity_exact_budget/evaluations/coarse/taqeb_m140_coarse_grid.json
taqeb_m180_coarse_grid,coarse,coarse_grid,25,0.76,19,25,50.676659178082126,2476736512,0.3121035940803383,30,96,123,31713132544,31742492672,29360128,0.0009249471458773784,0.15512684989429176,artifacts/policies/task_sensitivity_exact_budget/taqeb_m180_coarse_grid.json,artifacts/results/task_sensitivity_exact_budget/evaluations/coarse/taqeb_m180_coarse_grid.json
taqeb_m230_coarse_grid,coarse,coarse_grid,25,0.76,19,25,50.676659178082126,2476736512,0.3121035940803383,30,96,123,31713132544,31742492672,29360128,0.0009249471458773784,0.15512684989429176,artifacts/policies/task_sensitivity_exact_budget/taqeb_m230_coarse_grid.json,artifacts/results/task_sensitivity_exact_budget/evaluations/coarse/taqeb_m230_coarse_grid.json
taqeb_m290_coarse_grid,coarse,coarse_grid,25,0.76,19,25,50.676659178082126,2476736512,0.3121035940803383,30,96,123,31713132544,31742492672,29360128,0.0009249471458773784,0.15512684989429176,artifacts/policies/task_sensitivity_exact_budget/taqeb_m290_coarse_grid.json,artifacts/results/task_sensitivity_exact_budget/evaluations/coarse/taqeb_m290_coarse_grid.json
